_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
1,2523,1,Dog Fountain,None,Dog Fountain Count,None,ASHBRIDGES BAY PARK - Drinking Water Source (  1)
2,2523,1,Drinking Fountain,None,Drinking Fountain Count,None,ASHBRIDGES BAY PARK - Drinking Water Source (  1)
3,2524,1,Drinking Fountain,None,Drinking Fountain Count,None,ASHBRIDGES BAY PARK - Drinking Water Source (  2)
4,21787,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL (  1)
5,21788,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 10)
6,21790,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 12)
7,21791,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 13)
8,21792,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 14)
9,21793,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 15)
10,21794,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 16)
11,21795,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 17)
12,21796,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 18)
13,21798,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL (  2)
14,21799,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL ( 20)
15,21805,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL (  4)
16,21807,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL (  6)
17,21808,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL (  7)
18,21809,1,Bike Trail,None,Bike Trail,None,ASHBRIDGES BAY PARK TRAIL (  8)
19,23246,1,Bike Trail,None,Bike Trail,None,MARTIN GOODMAN TRAIL (  1)
20,27944,1,Picnic Site,picnic,Picnic Site,None,ASHBRIDGES BAY PARK - Picnic Site (  1)
